-105.2100908507309,40.0652253094504,90
-105.2098240103828,40.06520983138007,90
-105.2097629026131,40.06518667392859,135
-105.2097308279193,40.06513177912552,180
-105.209738150582,40.06491557682288,180
-105.2097501444705,40.06452415012394,180
-105.2097884312028,40.0644668854269,270
-105.2099424715226,40.06447739617511,270
-105.2104200633587,40.06451314122317,270
-105.2104465821731,40.06461422852355,0
-105.2104270199432,40.06521965594927,0
-105.2102729670725,40.06524202265999,90
-105.2100574241598,40.06524855372022,90
